time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2014-01-04T23:55:38.630Z,34.3056667,-116.4473333,9.467,1.22,ml,34,145,0.114,0.12,ci,ci11410154,2016-03-11T07:41:20.851Z,"21km N of Yucca Valley, CA",earthquake,0.32,0.86,0.089,16,reviewed,ci,ci
2014-01-04T23:52:12.033Z,36.7285,-116.3111,6.8,-0.3,ml,9,123.4,0.079,0.0713,nn,nn00433340,2018-06-29T22:59:53.785Z,"44 km ESE of Beatty, Nevada",earthquake,,2.6,0,1,reviewed,nn,nn
2014-01-04T23:49:32.380Z,38.8128333,-122.7953333,1.1,1.39,md,42,63,0.004505,0.04,nc,nc72136246,2017-02-02T19:52:25.584Z,"6 km W of Cobb, California",earthquake,0.09,0.17,0.099,12,reviewed,nc,nc
2014-01-04T23:36:08.930Z,37.6035,-118.4315,6.816,1.16,md,26,71,0.05676,0.07,nc,nc72136241,2018-06-29T22:59:54.512Z,"21 km ENE of Swall Meadows, California",earthquake,0.25,0.53,0.178,24,reviewed,nc,nc
2014-01-04T23:33:32.000Z,36.129,-97.322,5,3.7,mb_lg,,,,0.63,us,usc000lx1g,2020-03-19T22:24:57.499Z,"5 km ESE of Orlando, Oklahoma",earthquake,,2,0.059,83,reviewed,tul,us
2014-01-04T23:30:36.154Z,39.3776,-120.1205,0,-0.8,ml,3,289.71,0.145,0.0006,nn,nn00433338,2018-06-29T22:59:53.695Z,"7 km NE of Truckee, California",earthquake,,0,0,1,reviewed,nn,nn
2014-01-04T23:26:27.460Z,38.4134,-118.7717,3.3,0.6,ml,6,238.34,0.044,0.1185,nn,nn00433067,2018-06-29T22:59:54.408Z,"17 km SW of Hawthorne, Nevada",earthquake,,4.6,0,1,reviewed,nn,nn
2014-01-04T23:25:32.144Z,52.7103,-167.6445,0.3,2.1,ml,,,,0.9,ak,ak0146zzs9q,2019-05-20T22:46:43.379Z,"85 km ESE of Nikolski, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2014-01-04T23:20:53.911Z,60.248,-140.7255,12.6,1.9,ml,,,,0.82,ak,ak0146zyrdb,2019-05-20T22:46:42.906Z,"96 km NW of Yakutat, Alaska",earthquake,,0.1,,,reviewed,ak,ak
2014-01-04T23:17:36.540Z,55.5581,-158.9522,37.3,2.3,ml,,,,0.18,ak,ak0146zy2vq,2019-05-20T22:46:42.461Z,"41 km SSE of Perryville, Alaska",earthquake,,1.5,,,reviewed,ak,ak
2014-01-04T23:15:14.050Z,38.7923317,-122.7988358,2.933,1.15,md,22,62,0.005405,0.03,nc,nc72136236,2017-02-02T19:52:08.100Z,"7 km WSW of Cobb, California",earthquake,0.26,0.45,0.13,7,automatic,nc,nc
2014-01-04T23:11:24.220Z,38.7975,-122.8151667,2.99,1.1,md,39,49,0.01351,0.04,nc,nc72136231,2017-02-02T19:52:01.731Z,"8 km WSW of Cobb, California",earthquake,0.16,0.24,0.124,12,reviewed,nc,nc
2014-01-04T22:59:48.710Z,32.6411,140.6006,70.5,4.4,mb,,112,0.813,0.84,us,usc000lx19,2014-03-07T00:25:58.000Z,"268 km SSE of Tateyama, Japan",earthquake,,6.7,0.107,28,reviewed,us,us
